"lon","lat","X01_01_2006"
-69.7708,43.7394,270.200012207031
-72.52,41.46,273.300018310547
-72.5,41.34,274
-71.9,41.61,273
-72.01,41.89,273.100006103516
-72.2099,41.795,273.200012207031
-72.2099,41.795,273.200012207031
-72.2099,41.795,273.200012207031
-72.2099,41.795,273.200012207031
-72.25,41.8083,273.300018310547
-72.25,41.8083,273.300018310547
-72.78,41.85,273.300018310547
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-73.2819,41.9847,271.600006103516
-72.2561,41.962,272.300018310547
-72.25,41.9646,272.399993896484
-72.5516,41.4768,273.800018310547
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-72.26,41.9278,272.899993896484
-72.2561,41.962,272.300018310547
-72.252,41.9529,272.899993896484
-72.25,41.9646,272.399993896484
-69.09,44.06,270.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-71.9213,41.6022,273.200012207031
-68.7,44.29,270.200012207031
-72.3038,41.7698,273.300018310547
-72.3038,41.7698,273.300018310547
-72.69,41.92,273.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-73.22,41.98,271.399993896484
-72.21,41.7,273.300018310547
-72.25,41.8083,273.300018310547
-72.25,41.8083,273.300018310547
-73.26,41.95,271.800018310547
-73.26,41.95,271.800018310547
-72.3697,41.737,273.200012207031
-72.912,41.93,271
-72.5516,41.4768,273.800018310547
-72.2561,41.962,272.300018310547
-72.25,41.9646,272.399993896484
-72.26,41.9278,272.899993896484
-72.25,41.8083,273.300018310547
-72.3606,42.0119,272.300018310547
-72.3606,42.0119,272.300018310547
-72.3606,42.0119,272.300018310547
-73.084,42.001,271.399993896484
-73.084,42.001,271.399993896484
-70.599,43.248,270.399993896484
