"accessRights","adm1","adm2","associatedSequences","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","datasetID","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","eventDate","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferenceProtocol","georeferenceRemarks","georeferenceSources","habitat","higherClassification","higherGeography","http://unknown.org/occurrenceDetails","identificationID","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","infraspecificEpithet","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","source","species","speciesKey","specificEpithet","startDayOfYear","taxonID","taxonKey","taxonRank","type","typeStatus","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLabel","verbatimLocality","year","downloadDate"
NA,NA,NA,NA,"HUMAN_OBSERVATION","3276696","Insecta",216,"United States","Observations",NA,NA,NA,70,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-05-23T13:40:02.000+0000",21,NA,NA,NA,NA,NA,"2016-05-21T17:05:27.000+0000","17:05:27Z","Formicidae",4342,NA,NA,"United States","1269579119","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3276696","6277775",NA,NA,NA,"3276696",NA,NA,"iNaturalist",NA,"US",1269579119,"Animalia",1,NA,"2016-06-06T11:31:49.901+0000","2016-06-06T12:48:58.631+0000","2016-06-06T11:31:50.011+0000",38.95822,"http://creativecommons.org/publicdomain/zero/1.0/",NA,NA,NA,-77.05495,"2016-05-23T13:40:31.000+0000",5,NA,"http://www.inaturalist.org/observations/3276696",NA,"Hymenoptera",1457,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Katja Schulz",NA,"http://www.inaturalist.org/observations/3276696","by Katja Schulz no rights reserved","Katja Schulz",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,"213892",1316102,"SPECIES",NA,NA,NA,NA,"2016-05-21 13:05:27",NA,"Rock Creek Park, Rock Creek Park, District of Columbia County, US-DC, US",2016,2016-06-14
NA,"Rhode Island","Providence",NA,"PRESERVED_SPECIMEN","526235","Insecta",216,"Buck Hill Management Area, Rhode Island, Providence, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,12,"not applicable","{}",201,0,NA,"2014-04-11T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","899067422","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Providence",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526235",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",899067422,"Animalia",1,"en","2016-06-06T22:35:16.717+0000","2016-06-06T22:36:54.453+0000","2016-06-06T22:35:16.921+0000",41.98968,NA,NA,"Buck Hill Management Area",NA,-71.78827,NA,4,"ICZN","MCZ:Ent:526235",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Steven O. Shattuck",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526235",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","201-201 m","12.iv.2014",NA,"USA: Rhode Island , Buck Hill Management Area (41°59'22.85''N, 71°47'17.79''W), 201 m,  12.iv.2014, coll. Gary D. Alpert; Mixed hardwood forest, Buck Hill Management Area, under rocks",2014,2016-06-14
NA,"Rhode Island","Providence",NA,"PRESERVED_SPECIMEN","526221","Insecta",216,"Buck Hill Management Area, Rhode Island, Providence, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,12,"not applicable","{}",201,0,NA,"2014-04-11T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","899067424","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Providence",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526221",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",899067424,"Animalia",1,"en","2016-06-06T22:35:16.746+0000","2016-06-06T22:36:54.961+0000","2016-06-06T22:35:17.104+0000",41.98968,NA,NA,"Buck Hill Management Area",NA,-71.78827,NA,4,"ICZN","MCZ:Ent:526221",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Steven O. Shattuck",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526221",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","201-201 m","12.iv.2014",NA,"USA: Rhode Island , Buck Hill Management Area (41°59'22.85''N, 71°47'17.79''W), 201 m,  12.iv.2014, coll. Gary D. Alpert; Mixed hardwood forest, Buck Hill Management Area, under rocks",2014,2016-06-14
NA,"Rhode Island","Providence",NA,"PRESERVED_SPECIMEN","526220","Insecta",216,"Buck Hill Management Area, Rhode Island, Providence, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,12,"not applicable","{}",201,0,NA,"2014-04-11T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","899067434","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Providence",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526220",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",899067434,"Animalia",1,"en","2016-06-06T22:35:16.729+0000","2016-06-06T22:36:54.314+0000","2016-06-06T22:35:16.915+0000",41.98968,NA,NA,"Buck Hill Management Area",NA,-71.78827,NA,4,"ICZN","MCZ:Ent:526220",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Steven O. Shattuck",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526220",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","201-201 m","12.iv.2014",NA,"USA: Rhode Island , Buck Hill Management Area (41°59'22.85''N, 71°47'17.79''W), 201 m,  12.iv.2014, coll. Gary D. Alpert; Mixed hardwood forest, Buck Hill Management Area, under rocks",2014,2016-06-14
NA,"Rhode Island","Kent",NA,"PRESERVED_SPECIMEN","526350","Insecta",216,"Big River Management Area, Carr Pond, Rhode Island, Kent, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,11,"not applicable","{}",107,0,NA,"2014-05-10T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","910640541","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Kent",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526350",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",910640541,"Animalia",1,"en","2016-06-06T22:35:16.805+0000","2016-06-06T22:36:54.344+0000","2016-06-06T22:35:16.899+0000",41.63587,NA,NA,"Big River Management Area, Carr Pond",NA,-71.55863,NA,5,"ICZN","MCZ:Ent:526350",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Gary D. Alpert",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526350",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","107-107 m","11.v.2014",NA,"USA: Rhode Island , Big River Management Area, Carr Pond (41°38'9.12''N, 71°33'31.05''W), 107 m,  11.v.2014, coll. Gary D. Alpert; Mixed hardwoods, under rocks",2014,2016-06-14
NA,"Rhode Island","Kent",NA,"PRESERVED_SPECIMEN","526352","Insecta",216,"Big River Management Area, Carr Pond, Rhode Island, Kent, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,11,"not applicable","{}",107,0,NA,"2014-05-10T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","910640582","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Kent",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526352",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",910640582,"Animalia",1,"en","2016-06-06T22:35:16.826+0000","2016-06-06T22:36:54.962+0000","2016-06-06T22:35:17.138+0000",41.63587,NA,NA,"Big River Management Area, Carr Pond",NA,-71.55863,NA,5,"ICZN","MCZ:Ent:526352",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Gary D. Alpert",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526352",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","107-107 m","11.v.2014",NA,"USA: Rhode Island , Big River Management Area, Carr Pond (41°38'9.12''N, 71°33'31.05''W), 107 m,  11.v.2014, coll. Gary D. Alpert; Mixed hardwoods, under rocks",2014,2016-06-14
NA,"Rhode Island","Kent",NA,"PRESERVED_SPECIMEN","526354","Insecta",216,"Big River Management Area, Carr Pond, Rhode Island, Kent, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,11,"not applicable","{}",107,0,NA,"2014-05-10T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","910640573","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Kent",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526354",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",910640573,"Animalia",1,"en","2016-06-06T22:35:16.844+0000","2016-06-06T22:36:54.973+0000","2016-06-06T22:35:17.154+0000",41.63587,NA,NA,"Big River Management Area, Carr Pond",NA,-71.55863,NA,5,"ICZN","MCZ:Ent:526354",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Gary D. Alpert",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526354",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","107-107 m","11.v.2014",NA,"USA: Rhode Island , Big River Management Area, Carr Pond (41°38'9.12''N, 71°33'31.05''W), 107 m,  11.v.2014, coll. Gary D. Alpert; Mixed hardwoods, under rocks",2014,2016-06-14
NA,"Rhode Island","Kent",NA,"PRESERVED_SPECIMEN","526351","Insecta",216,"Big River Management Area, Carr Pond, Rhode Island, Kent, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,11,"not applicable","{}",107,0,NA,"2014-05-10T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","910640559","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Kent",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526351",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",910640559,"Animalia",1,"en","2016-06-06T22:35:16.840+0000","2016-06-06T22:36:54.856+0000","2016-06-06T22:35:17.048+0000",41.63587,NA,NA,"Big River Management Area, Carr Pond",NA,-71.55863,NA,5,"ICZN","MCZ:Ent:526351",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Gary D. Alpert",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526351",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","107-107 m","11.v.2014",NA,"USA: Rhode Island , Big River Management Area, Carr Pond (41°38'9.12''N, 71°33'31.05''W), 107 m,  11.v.2014, coll. Gary D. Alpert; Mixed hardwoods, under rocks",2014,2016-06-14
NA,"Rhode Island","Kent",NA,"PRESERVED_SPECIMEN","526353","Insecta",216,"Big River Management Area, Carr Pond, Rhode Island, Kent, United States, NORTH_AMERICA","Ent",NA,"NORTH_AMERICA",NA,NA,"United States",NA,"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",NA,NA,11,"not applicable","{}",107,0,NA,"2014-05-10T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","910640546","Aphaenogaster","Aphaenogaster",1315863,"WGS84","Gary D. Alpert","unknown",NA,"GPS",NA,"Animalia Arthropoda Insecta Hymenoptera Apocrita Vespoidea Formicidae Myrmicinae Pheidolini Aphaenogaster picea","North America: United States: Rhode Island: Kent",NA,NA,"Labels:","unverified","Gary D. Alpert","MCZ:Ent:526353",1,NA,"MCZ","b4640710-8e03-11d8-b956-b8a03c50a862","US",910640546,"Animalia",1,"en","2016-06-06T22:35:16.841+0000","2016-06-06T22:36:54.931+0000","2016-06-06T22:35:17.075+0000",41.63587,NA,NA,"Big River Management Area, Carr Pond",NA,-71.55863,NA,5,"ICZN","MCZ:Ent:526353",NA,"Hymenoptera",1457,NA,NA,"Museum of Comparative Zoology, Harvard University","Arthropoda",54,"whole animal (pointed)","DWC_ARCHIVE","US","b4640710-8e03-11d8-b956-b8a03c50a862","Gary D. Alpert",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:526353",NA,"President and Fellows of Harvard College",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea","0",NA,1316102,"SPECIES","PhysicalObject",NA,"deg. min. sec.","107-107 m","11.v.2014",NA,"USA: Rhode Island , Big River Management Area, Carr Pond (41°38'9.12''N, 71°33'31.05''W), 107 m,  11.v.2014, coll. Gary D. Alpert; Mixed hardwoods, under rocks",2014,2016-06-14
NA,NA,NA,NA,"HUMAN_OBSERVATION","755638","Insecta",216,"United States","Observations",NA,NA,NA,6,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2015-12-31T02:03:40.000+0000",26,NA,NA,NA,NA,NA,"2014-06-25T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","1227775922","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/755638","4693802",NA,NA,NA,"755638",NA,NA,"iNaturalist",NA,"US",1227775922,"Animalia",1,NA,"2016-06-06T11:32:43.064+0000","2016-06-06T12:58:20.160+0000","2016-06-06T11:32:43.408+0000",40.796,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,-77.90387,"2015-12-31T02:17:17.000+0000",6,NA,"http://www.inaturalist.org/observations/755638","Black ant, very small under microscope","Hymenoptera",1457,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","James Steamer",NA,"http://www.inaturalist.org/observations/755638","© James Steamer some rights reserved","James Steamer",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,"213892",1316102,"SPECIES",NA,NA,NA,NA,"2014-06-26",NA,"State College PA",2014,2016-06-14
NA,NA,NA,NA,"HUMAN_OBSERVATION","255590","Insecta",216,"United States","Observations",NA,NA,NA,1735,"United States",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2013-05-05T20:31:34.000+0000",18,NA,NA,NA,NA,NA,"2013-04-17T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","891147998","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/255590","412096",NA,NA,NA,"255590",NA,NA,"iNaturalist",NA,"US",891147998,"Animalia",1,NA,"2016-06-06T11:30:46.427+0000","2016-06-06T12:32:49.971+0000","2016-06-06T11:30:46.436+0000",36.8926,"http://creativecommons.org/licenses/by-nc/4.0/",NA,NA,NA,-82.6296,"2014-11-20T03:01:58.000+0000",4,NA,"http://www.inaturalist.org/observations/255590",NA,"Hymenoptera",1457,NA,NA,NA,"Arthropoda",54,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","maddisoncouch",NA,"http://www.inaturalist.org/observations/255590","© maddisoncouch some rights reserved","maddisoncouch",NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,"213892",1316102,"SPECIES",NA,NA,NA,NA,"2013-04-18",NA,"High Knob",2013,2016-06-14
NA,"Pennsylvania",NA,NA,"PRESERVED_SPECIMEN","ss190582ss13a162","Insecta",216,"Mt. Carmel, Pennsylvania, United States","ANTWEB",NA,NA,NA,NA,"United States",NA,"13b70480-bd69-11dd-b15f-b8a03c50a862",NA,"2014-11-06T23:00:00.000+0000",1,NA,NA,335,NA,NA,"2013-06-30T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","1213764343","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,"3 km",NA,"half open grassland/forest; under ground","animalia;arthropoda;insecta;hymenoptera;hymenoptera;formicidae;myrmicinae",NA,NA,NA,NA,NA,"S. Schr","CAS:ANTWEB:ss190582ss13a162",NA,NA,"CAS",NA,"US",1213764343,"Animalia",1,NA,"2016-06-06T17:57:11.980+0000","2016-06-06T17:57:23.963+0000","2016-06-06T17:57:11.997+0000",40.797,NA,NA,"Mt. Carmel",NA,-76.412,NA,7,"ICZN","CAS:ANTWEB:ss190582ss13a162",NA,"Hymenoptera",1457,NA,NA,"S. Schr","Arthropoda",54,"96% ETOH","DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","S. Schr",NA,NA,NA,NA,"search","Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,NA,1316102,"SPECIES",NA,NA,NA,NA,"2013-07",NA,NA,2013,2016-06-14
NA,"New Jersey",NA,NA,"PRESERVED_SPECIMEN","ss190582ss13a161","Insecta",216,"New Jersey, United States","ANTWEB",NA,NA,NA,NA,"United States",NA,"13b70480-bd69-11dd-b15f-b8a03c50a862",NA,"2014-11-06T23:00:00.000+0000",1,NA,NA,0,NA,NA,"2013-06-30T22:00:00.000+0000",NA,"Formicidae",4342,NA,NA,"United States","1213764364","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,"25km",NA,"shady forest near edge; under log","animalia;arthropoda;insecta;hymenoptera;hymenoptera;formicidae;myrmicinae",NA,NA,NA,NA,NA,"S. Schr","CAS:ANTWEB:ss190582ss13a161",NA,NA,"CAS",NA,"US",1213764364,"Animalia",1,NA,"2016-06-06T17:57:11.979+0000","2016-06-06T17:57:23.844+0000","2016-06-06T17:57:11.991+0000",40.7,NA,NA,NA,NA,-74.5,NA,7,"ICZN","CAS:ANTWEB:ss190582ss13a161",NA,"Hymenoptera",1457,NA,NA,"S. Schr","Arthropoda",54,"96% ETOH","DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","S. Schr",NA,NA,NA,NA,"search","Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,NA,1316102,"SPECIES",NA,NA,NA,NA,"2013-07",NA,NA,2013,2016-06-14
NA,"Nova Scotia",NA,NA,"PRESERVED_SPECIMEN","casent0221005","Insecta",216,"Saint Margaret's Bay Road, Halifax, Nova Scotia, Canada","ANTWEB",NA,NA,NA,NA,"Canada",NA,"13b70480-bd69-11dd-b15f-b8a03c50a862",NA,"2014-08-18T22:00:00.000+0000",20,NA,NA,75,NA,NA,"2011-06-19T22:00:00.000+0000",NA,"Formicidae",4342,NA,"PSW16586","Canada","1213710800","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,"6 m",NA,"mixed coniferous forest; ground nest (under moss mat on boulder)","animalia;arthropoda;insecta;hymenoptera;hymenoptera;formicidae;myrmicinae",NA,NA,NA,NA,NA,"Ward, P. S.","CAS:ANTWEB:casent0221005",NA,NA,"CAS",NA,"CA",1213710800,"Animalia",1,NA,"2016-06-06T17:54:45.420+0000","2016-04-27T23:00:22.543+0000","2016-04-27T18:01:09.908+0000",44.63553,NA,NA,"Saint Margaret's Bay Road, Halifax","Mixed coniferous forest (Pinus strobus, Abies balsamea, Picea rubens, Acer, Betula, Quercus, Populus) with ericaceous understory, on south side of Saint Margaret's Bay Road, north of Long Lake",-63.6437,NA,6,"ICZN","CAS:ANTWEB:casent0221005","Top w of 3w on pin","Hymenoptera",1457,NA,NA,"UCDC","Arthropoda",54,"pin","DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","Ward, P. S.",NA,NA,NA,NA,NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,NA,1316102,"SPECIES",NA,NA,NA,NA,"2011-06-20",NA,NA,2011,2016-06-14
NA,"Michigan",NA,NA,"PRESERVED_SPECIMEN","casent0636852","Insecta",216,"Van Atta Park, Michigan, United States","ANTWEB",NA,NA,NA,NA,"United States",NA,"13b70480-bd69-11dd-b15f-b8a03c50a862",NA,"2016-02-06T23:00:00.000+0000",19,NA,NA,NA,NA,NA,"2009-05-18T22:00:00.000+0000",NA,"Formicidae",4342,NA,"demarco19May09","United States","1253919968","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,"unknown",NA,NA,"animalia;arthropoda;insecta;hymenoptera;hymenoptera;formicidae;myrmicinae",NA,NA,NA,NA,NA,"B. DeMarco","CAS:ANTWEB:casent0636852",NA,NA,"CAS",NA,"US",1253919968,"Animalia",1,NA,"2016-06-06T17:55:23.781+0000","2016-05-30T17:56:32.751+0000","2016-05-30T17:54:19.711+0000",42.71317,NA,NA,"Van Atta Park",NA,-84.37317,NA,5,"ICZN","CAS:ANTWEB:casent0636852",NA,"Hymenoptera",1457,NA,NA,"JTLC","Arthropoda",54,"dry-mount","DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","B. DeMarco",NA,NA,NA,NA,NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,NA,1316102,"SPECIES",NA,NA,NA,NA,"19 May 2009",NA,NA,2009,2016-06-14
NA,"Michigan",NA,NA,"PRESERVED_SPECIMEN","casent0636851","Insecta",216,"Van Atta Park, Michigan, United States","ANTWEB",NA,NA,NA,NA,"United States",NA,"13b70480-bd69-11dd-b15f-b8a03c50a862",NA,"2016-02-06T23:00:00.000+0000",19,NA,NA,NA,NA,NA,"2009-05-18T22:00:00.000+0000",NA,"Formicidae",4342,NA,"demarco19May09","United States","1253919972","Aphaenogaster","Aphaenogaster",1315863,"WGS84",NA,NA,"unknown",NA,NA,"animalia;arthropoda;insecta;hymenoptera;hymenoptera;formicidae;myrmicinae",NA,NA,NA,NA,NA,"B. DeMarco","CAS:ANTWEB:casent0636851",NA,NA,"CAS",NA,"US",1253919972,"Animalia",1,NA,"2016-06-06T17:55:23.773+0000","2016-05-30T17:56:32.787+0000","2016-05-30T17:54:19.728+0000",42.71317,NA,NA,"Van Atta Park",NA,-84.37317,NA,5,"ICZN","CAS:ANTWEB:casent0636851",NA,"Hymenoptera",1457,NA,NA,"JTLC","Arthropoda",54,"dry-mount","DWC_ARCHIVE","US","66522820-055c-11d8-b84e-b8a03c50a862","B. DeMarco",NA,NA,NA,NA,NA,"Aphaenogaster picea (Wheeler, 1908)",NA,NA,NA,"Aphaenogaster picea",1316102,"picea",NA,NA,1316102,"SPECIES",NA,NA,NA,NA,"19 May 2009",NA,NA,2009,2016-06-14
