"lon","lat","X01_01_2006"
-70.758,41.483,275.300018310547
-70.75,41.37,274.700012207031
-70.75,41.37,274.700012207031
-70.64,41.35,274.899993896484
-70.64,41.35,274.899993896484
-70.64,41.35,274.899993896484
-70.64,41.35,274.899993896484
-70.64,41.35,274.899993896484
-70.64,41.36,274.899993896484
-70.64,41.36,274.899993896484
-70.64,41.36,274.899993896484
-70.63,41.37,274.899993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-70.8,41.32,274.899993896484
-70.8,41.32,274.899993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-71.61,41.41,275.399993896484
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.65,41.45,275.100006103516
-70.758,41.483,275.300018310547
-72.93,41.31,275.700012207031
-72.93,41.31,275.700012207031
-71.5071,41.4903,274.300018310547
-72.731,41.2949,275
-72.729,41.2868,275.5
-72.511,41.3065,274.600006103516
-72.93,41.31,275.700012207031
-72.8,41.55,274.600006103516
-72.93,41.32,275.700012207031
-72.731,41.2949,275
-72.729,41.2868,275.5
-72.511,41.3065,274.600006103516
-72.71,41.27,275.600006103516
-72.91,41.33,275.800018310547
-72.92,41.32,275.700012207031
-72.91,41.33,275.800018310547
-72.93,41.32,275.700012207031
-70.0036,41.3198,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0264,41.2739,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0036,41.3198,275.800018310547
-70.1217,41.2488,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0215,41.262,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1773,41.2659,275.700012207031
-70.1407,41.2721,275.800018310547
-70.1407,41.2721,275.800018310547
-70.1407,41.2721,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0813,41.2583,275.899993896484
-70.1614,41.2586,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0211,41.2621,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0196,41.2643,275.800018310547
-70.0199,41.2643,275.800018310547
-70.0212,41.262,275.800018310547
-70.0215,41.262,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1613,41.2584,275.800018310547
-70.0201,41.2644,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1645,41.2574,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1217,41.2488,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0264,41.2739,275.800018310547
-70.1614,41.2586,275.800018310547
-70.0211,41.2621,275.800018310547
-70.0212,41.262,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1614,41.2586,275.800018310547
-70.1645,41.2574,275.800018310547
-70.1567,41.2598,275.800018310547
-70.0311,41.2813,275.800018310547
-70.1567,41.2598,275.800018310547
-70.1613,41.2584,275.800018310547
-70.1645,41.2574,275.800018310547
-70.0311,41.2813,275.800018310547
-70.0201,41.2644,275.800018310547
-70.0199,41.2643,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0264,41.2739,275.800018310547
-70.0036,41.3198,275.800018310547
-70.0813,41.2583,275.899993896484
-70.0813,41.2583,275.899993896484
-70.1217,41.2488,275.800018310547
-70.0485,41.2544,275.899993896484
-69.9878,41.2751,275.700012207031
-70.0199,41.2643,275.800018310547
-70.0201,41.2644,275.800018310547
-70.0215,41.262,275.800018310547
-70.0212,41.262,275.800018310547
-70.0211,41.2621,275.800018310547
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
-70.0507,41.278,275.899993896484
